feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-202;RAY COMPOSITION;Ray tracheids;Absent or very rare;;Softwood;IAWA;;80;;;
IFC-203;RAY COMPOSITION;Cell walls of ray tracheids;Smooth;;Softwood;IAWA;;81;;;
IFC-204;RAY COMPOSITION;Cell walls of ray tracheids;Dentate;;Softwood;IAWA;;82;;;
IFC-205;RAY COMPOSITION;Cell walls of ray tracheids;Reticulate;;Softwood;IAWA;;83;;;
IFC-206;RAY COMPOSITION;Ray tracheid pit borders angular or with dentate thickenings (radial section, Larix & Picea only);Present;;Softwood;IAWA;;84;;;
IFC-207;RAY COMPOSITION;End walls of ray parenchyma cells;Smooth (unpitted);;Softwood;IAWA;;85;;;
IFC-208;RAY COMPOSITION;End walls of ray parenchyma cells;Distinctly pitted;;Softwood;IAWA;;86;;;
IFC-209;RAY COMPOSITION;Horizontal walls of ray parenchyma cells;Smooth (unpitted);;Softwood;IAWA;;87;;;
IFC-210;RAY COMPOSITION;Horizontal walls of ray parenchyma cells;Distinctly pitted;;Softwood;IAWA;;88;;;
IFC-211;RAY COMPOSITION;Indentures;Indentures Present;;Softwood;IAWA;;89;;;
IFC-212;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);“Window-like” (fenestriform);;Softwood;IAWA;;90;;;
IFC-213;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);Pinoid;;Softwood;IAWA;;91;;;
IFC-214;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);Piceoid;;Softwood;IAWA;;92;;;
IFC-215;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);Cupressoid;;Softwood;IAWA;;93;;;
IFC-216;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);Taxodioid;;Softwood;IAWA;;94;;;
IFC-217;CROSS-FIELD PITTING;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);Araucarioid;;Softwood;IAWA;;95;;;
IFC-218;CROSS-FIELD PITTING;Number of pits per cross-field;Number of pits per cross-field (earlywood tracheids only) value;;Softwood;IAWA;;96;;Value;
IFC-219;CROSS-FIELD PITTING;Number of pits per cross-field (earlywood only – categories);(large window-like) 1–2;;Softwood;IAWA;;97;;;
IFC-220;CROSS-FIELD PITTING;Number of pits per cross-field (earlywood only – categories);1–3;;Softwood;IAWA;;98;;;
